n,rep,demo_auroc,full_auroc,delta
150,28,0.803793328973185,0.38548752834467115,-0.41830580062851386
150,29,0.8274647887323945,0.9795918367346939,0.15212704800229937
150,30,0.8425925925925926,,
200,1,0.8525345622119815,0.9974489795918368,0.14491441737985522
200,2,0.8333333333333334,0.48989898989898994,-0.3434343434343434
200,3,0.9448786507610037,0.8041025641025641,-0.14077608665843966
200,4,0.941999177293295,0.970913321698662,0.028914144405366993
200,5,0.9411764705882354,0.9241025641025641,-0.01707390648567131
200,6,0.8989361702127658,0.7727609178386381,-0.12617525237412774
200,7,0.911578947368421,0.7165062916358254,-0.1950726557325957
200,8,0.8910526315789473,0.951530612244898,0.06047798066595067
200,9,0.8889345948169478,0.9540816326530612,0.06514703783611342
200,10,0.9518999518999518,0.8831615120274914,-0.06873843987246042
200,11,0.9066227889757301,0.8964102564102563,-0.01021253256547383
200,12,0.8868778280542986,0.16161616161616166,-0.7252616664381369
200,13,0.884078884078884,0.8662012798138452,-0.017877604265038816
200,14,0.8768638768638768,0.2550505050505051,-0.6218133718133717
200,15,0.9466089466089467,0.5363790186125211,-0.41022992799642555
200,16,0.9230769230769231,0.6935603256846781,-0.22951659739224506
200,17,0.9212749615975422,0.2651515151515152,-0.656123446446027
200,18,0.9368421052631578,,
200,19,0.9578900709219859,0.8889711324944485,-0.06891893842753738
200,20,0.924956369982548,0.918974358974359,-0.00598201100818907
200,21,0.9576306046894283,0.8599656357388317,-0.09766496895059662
200,22,0.9481382978723404,0.8020512820512822,-0.1460870158210582
200,23,0.9410460992907801,0.8578680203045685,-0.08317807898621155
200,24,0.9163963963963964,0.860969387755102,-0.05542700864129435
200,25,0.8940602836879433,0.8808290155440415,-0.013231268143901853
200,26,0.8638743455497382,0.5431472081218274,-0.3207271374279108
200,27,0.9205069124423964,0.9109947643979057,-0.009512148044490631
200,28,0.9286347517730498,0.5956632653061225,-0.3329714864669273
200,29,0.8778258778258778,0.8420512820512821,-0.03577459577459574
200,30,0.9116743471582182,0.9192708333333333,0.0075964861751151025
252,1,0.9234880450070324,0.8390489254686786,-0.08443911953835381
252,2,0.9431786216596343,0.787940379403794,-0.15523824225584026
252,3,0.939521800281294,0.8657786885245902,-0.07374311175670378
252,4,0.9341772151898734,0.8837090163934425,-0.05046819879643094
252,5,0.9142053445850915,0.875,-0.039205344585091506
252,6,0.9426160337552743,0.7894736842105263,-0.15314234954474792
252,7,0.9569620253164557,0.9935222672064777,0.03656024189002205
252,8,0.9113924050632911,0.9102040816326531,-0.0011883234306380164
252,9,0.9215189873417722,0.841733870967742,-0.07978511637403018
252,10,0.9310829817158931,0.9437751004016064,0.012692118685713294
252,11,0.8959212376933896,0.9031762295081966,0.007254991814807044
252,12,0.9026722925457104,0.8733424782807498,-0.029329814264960508
252,13,0.9361462728551336,0.9830623306233063,0.04691605776817265
252,14,0.9144866385372715,0.8856881572930955,-0.028798481244176055
252,15,0.9457102672292547,0.8186234817813766,-0.1270867854478781
252,16,0.919831223628692,0.7269467213114753,-0.19288450231721666
252,17,0.9364275668073136,0.8882591093117409,-0.04816845749557275
252,18,0.930520393811533,0.7425474254742549,-0.18797296833727806
252,19,0.9184247538677919,0.6961178045515395,-0.2223069493162524
252,20,0.9428973277074544,0.8860887096774194,-0.05680861803003501
252,21,0.9029535864978903,0.8235025148605395,-0.07945107163735077
252,22,0.9479606188466948,0.7405149051490515,-0.2074457136976433
252,23,0.9291139240506329,0.5554435483870968,-0.3736703756635361
252,24,0.9170182841068917,0.8990514905149052,-0.017966793591986496
252,25,0.8846694796061885,0.7601626016260162,-0.12450687798017224
252,26,0.8981715893108297,0.8699596774193548,-0.028211911891474983
252,27,0.9111111111111112,0.9177685950413224,0.00665748393021115
252,28,0.9549929676511955,0.9506072874493927,-0.004385680201802744
252,29,0.9271448663853727,0.8709677419354839,-0.05617712444988887
252,30,0.940084388185654,0.924119241192412,-0.01596514699324203
