env,model,fold,auroc,auprc,logloss,brier,ece
demo,LR,22,0.5104669887278583,0.5183478570290629,0.6933360607412911,0.25023622237634685,0.16389969667108037
demo,LR,23,0.6682769726247987,0.6421102681135004,0.6611922030248691,0.23406494135117373,0.10619285849660359
demo,LR,24,0.499194847020934,0.4337847487982317,0.6961948065282368,0.25153241110240243,0.12466855091483676
demo,LR,25,0.6743827160493827,0.6173991049364694,0.6689003500552186,0.2381039240361864,0.0845973029469747
demo,LR,26,0.6280864197530864,0.5464153091305967,0.6820256469981538,0.2444738344529678,0.10717032009825436
demo,LR,27,0.6183574879227053,0.6363254058530411,0.6645800453840353,0.23615813626581783,0.04391621457761543
demo,LR,28,0.6215780998389694,0.6390722058925391,0.668925584589785,0.23808527961869072,0.03614009638562815
demo,LR,29,0.4363929146537842,0.44211940402428035,0.725743693239495,0.2659385967862863,0.2179936429242231
demo,LR,30,0.5802469135802469,0.5621403105678906,0.6842602229977037,0.24557817937460413,0.11840347844793916
demo,LR,31,0.5941358024691358,0.5901958974387835,0.679335016166308,0.24309647986656394,0.08439166498560105
demo,LR,32,0.2640901771336554,0.3410583288974748,0.7034995016569416,0.2551665949538635,0.25685041881411697
demo,LR,33,0.5619967793880838,0.5223009541361783,0.6812189976111251,0.24443906444678037,0.09582429238820647
demo,LR,34,0.6489533011272142,0.6787566344855559,0.6609740493706261,0.23404608908575747,0.11171919201498137
demo,LR,35,0.6496913580246914,0.6620260360776363,0.6673479128175215,0.23728387908983664,0.06720391480486958
demo,LR,36,0.44907407407407407,0.4995289226294499,0.7266498520430494,0.2660127907215887,0.1613179684762655
demo,LR,37,0.5861513687600645,0.5598001579828542,0.6778159941888151,0.24247169740813995,0.08834260098700591
demo,LR,38,0.44927536231884063,0.46476487953895784,0.7057819600758299,0.25611897166188136,0.08698884243393436
demo,LR,39,0.5942028985507247,0.5102254029788686,0.6811503467353694,0.24411077229620465,0.031302237548148384
demo,LR,40,0.5262345679012346,0.4987263529263375,0.6896433825111068,0.24828898189480333,0.04079702500266034
demo,LR,41,0.5509259259259259,0.5078676002778924,0.6908779618340863,0.24881089159008485,0.09953630824543974
demo,LR,42,0.6409017713365539,0.6323514299618967,0.6669110092239248,0.23709808292732962,0.04564984825307264
demo,LR,43,0.5668276972624798,0.5625818349990627,0.6845678380413716,0.2456013022998198,0.07476393735982469
demo,LR,44,0.5394524959742352,0.5746516403382287,0.6870650462160577,0.2472057507609911,0.12914077759362602
demo,LR,45,0.49074074074074076,0.481483630424465,0.7058072140464585,0.25640332613179945,0.08220143591931679
demo,LR,46,0.5216049382716049,0.4956556309509956,0.69169723433208,0.2492725173981917,0.016028158941194706
demo,LR,47,0.6747181964573269,0.6899183868597417,0.6649963917134084,0.23608427482376285,0.11894149588624599
demo,LR,48,0.6537842190016103,0.638239697403866,0.6685061516191646,0.2378568472215409,0.06808042420031146
demo,LR,49,0.42028985507246375,0.4467651562345609,0.7321097308773068,0.2683036112810709,0.23770657043418097
demo,RF,0,0.7608024691358024,0.7568954886821745,0.6168659426527459,0.21308547809743955,0.10418003487834364
demo,RF,1,0.677469135802469,0.577171779072317,0.6321577360258344,0.21866861435329987,0.21994411154072074
demo,RF,2,0.7729468599033816,0.7610992680168209,0.5954507898258479,0.20357442999278985,0.1635296616575066
