env,model,fold,auroc,auprc,logloss,brier,ece
synthetic,RF,15,1.0,1.0,0.004635882598064442,0.00012435508909119542,0.004571282719872481
synthetic,RF,16,1.0,1.0,0.006276015175105284,0.0005197427293965193,0.0059774792691098255
synthetic,RF,17,1.0,1.0,0.0069563528370019554,0.00046729524128297684,0.006694317323165163
synthetic,RF,18,1.0,1.0,0.0077417788942053915,0.0012172450097985247,0.006778783053614108
synthetic,RF,19,1.0,1.0,0.004691740495664491,0.0001212359825458143,0.004628663468466695
synthetic,RF,20,1.0,1.0,0.0063621909691705305,0.00042081655729036714,0.006123776089564308
synthetic,RF,21,1.0,1.0,0.004304380914455993,0.0001127547400587227,0.0042451521520864375
synthetic,RF,22,1.0,1.0,0.005500261263558608,0.00033467991041039166,0.005307941308323026
synthetic,RF,23,1.0,1.0,0.007037531999828056,0.0005856908768203691,0.006704846289991597
synthetic,RF,24,1.0,1.0,0.0056451750769696465,0.00020195742036289033,0.0055387329354545725
synthetic,RF,25,1.0,1.0,0.005036857066661267,0.00017117820109859803,0.004947121284488189
synthetic,RF,26,1.0,1.0,0.004464010554663634,9.786295002280553e-05,0.004412906923816051
synthetic,RF,27,1.0,1.0,0.006090691363066812,0.0003793499202229621,0.005872914934827571
synthetic,RF,28,1.0,1.0,0.007619077695242038,0.0006332707066248803,0.0072622999780699825
synthetic,RF,29,1.0,1.0,0.009293005857192792,0.0020018092176057457,0.007473430011616704
synthetic,ET,0,0.9995291163082719,0.9999609010143999,0.025480160524963935,0.00669444665186274,0.018227298600316393
synthetic,ET,1,1.0,1.0,0.02028138927319413,0.00437697301271235,0.014395065408437486
synthetic,ET,2,1.0,1.0,0.015291896621407399,0.00252234980353727,0.013669049160021776
synthetic,ET,3,0.9978864734299516,0.9998153891909487,0.031098431999526274,0.00843777531888865,0.0161785332758481
synthetic,ET,4,0.9995471014492753,0.9999608064021374,0.02680518384605655,0.006733305027147066,0.013960007744638627
synthetic,ET,5,0.9987443101553917,0.9998957800770215,0.031810458970704614,0.008652371128407709,0.008475955375057947
synthetic,ET,6,0.9992151938471199,0.9999348804363655,0.03011360773109747,0.007440416303314432,0.01675181691486781
synthetic,ET,7,0.9993961352657005,0.9999482401656316,0.02225330557925999,0.005073719936768334,0.018047832693900867
synthetic,ET,8,0.9996980676328503,0.9999737924032281,0.018387904954569063,0.003980500415683316,0.011102642008326075
synthetic,ET,9,0.9990942028985508,0.9999220799605355,0.028925731583133777,0.007895924323875965,0.020384147647384592
synthetic,ET,10,1.0,1.0,0.014672911648005332,0.0020827426605779928,0.01342122617845581
synthetic,ET,11,0.9978025427719353,0.9998172826227707,0.03825028877840856,0.010571129266545676,0.013792387488613242
synthetic,ET,12,0.9996980676328502,0.9999739338963614,0.024105750332006036,0.005160302550526923,0.01685376981051324
synthetic,ET,13,1.0,1.0,0.016762322968563403,0.002898276864582383,0.014893032315410393
synthetic,ET,14,0.9980374396135265,0.9998300036315992,0.040242465208198804,0.011982169483958508,0.016725885591923267
synthetic,ET,15,1.0,1.0,0.01898143372145171,0.0028834463253692875,0.01721774407542751
synthetic,ET,16,0.9995291163082719,0.9999609010143999,0.02585741725881141,0.007034955748421428,0.01714959864786068
synthetic,ET,17,0.9983393719806763,0.9998560424183468,0.04025928316299595,0.011360967008506946,0.019326202899243958
synthetic,ET,18,0.9989432367149759,0.9999086257913402,0.023666778988443896,0.007322245342059066,0.015753945758068273
synthetic,ET,19,1.0,1.0,0.016037576069157514,0.0023926047208241365,0.014568798060709886
synthetic,ET,20,0.9995291163082719,0.9999610882054707,0.030182721599661632,0.007501867663865814,0.022318956149881174
synthetic,ET,21,1.0,1.0,0.011914970334885675,0.002161097968688796,0.010413528731350707
synthetic,ET,22,1.0,1.0,0.01594610002347213,0.0027665440083173352,0.013947493796998821
synthetic,ET,23,0.9966787439613527,0.9997110645649967,0.04163308013925739,0.012140414889018146,0.022526713908571045
synthetic,ET,24,0.998792270531401,0.9998979383547664,0.024149488589303623,0.005878098684589681,0.01728240277408052
synthetic,ET,25,1.0,1.0,0.019107058171364974,0.004247938084290453,0.016212485156996276
synthetic,ET,26,0.999686077538848,0.999973981116948,0.022983873498692506,0.004547491049965961,0.014715250780820381
synthetic,ET,27,0.9993961352657005,0.999947393857312,0.02048033323626035,0.004901111571370523,0.016051438210316613
synthetic,ET,28,0.9974335748792271,0.9997769027012424,0.041794823934563775,0.012005566578907416,0.017044078013401805
synthetic,ET,29,0.9990942028985507,0.999921136103819,0.02502017652838459,0.006653052491863177,0.017557613195589246
synthetic,HGB,0,1.0,1.0,0.00704789684955269,0.0005601610782330057,0.006691112088650567
synthetic,HGB,1,1.0,1.0,0.004836615002736333,8.24573743138775e-05,0.004794525502090426
synthetic,HGB,2,1.0,1.0,0.00577731570322882,0.00019300290633166337,0.005670778848694779
synthetic,HGB,3,1.0,1.0,0.007256248247883045,0.0005972606081272583,0.0068983514095459775
synthetic,HGB,4,1.0,1.0,0.00547516787791129,0.0001315752940845522,0.005406632774023217
synthetic,HGB,5,1.0,1.0,0.005966153563137135,0.0004243891895634763,0.005701523405055485
synthetic,HGB,6,1.0,1.0,0.004849206186896216,7.263038445317107e-05,0.004812229578665697
synthetic,HGB,7,1.0,1.0,0.008504889095592591,0.0009299590564866922,0.007863300521358897
synthetic,HGB,8,1.0,1.0,0.006636795826682716,0.0003531039062337704,0.006438953527732053
synthetic,HGB,9,1.0,1.0,0.006008597789677932,0.00027898280351537104,0.0058525487819540215
synthetic,HGB,10,1.0,1.0,0.007255400707971617,0.000625477448387713,0.006848477799130233
synthetic,HGB,11,1.0,1.0,0.004826390714347902,7.902076758672083e-05,0.0047860822206493205
synthetic,HGB,12,1.0,1.0,0.0052070225278586435,7.03790055119628e-05,0.00517126844154785
synthetic,HGB,13,1.0,1.0,0.0048742746836529715,6.689655430865198e-05,0.004840263574310194
synthetic,HGB,14,1.0,1.0,0.00784298998514587,0.0005923899266810377,0.0074984610826254825
synthetic,HGB,15,1.0,1.0,0.004716435777673384,7.092804732921288e-05,0.004680322164164683
synthetic,HGB,16,1.0,1.0,0.007250792305737844,0.0005909366091207532,0.0068735978374628495
synthetic,HGB,17,1.0,1.0,0.005649217058891661,0.00012777982080166729,0.005582401271605614
synthetic,HGB,18,1.0,1.0,0.006901542155341242,0.0005435753818381776,0.006574206841618736
synthetic,HGB,19,1.0,1.0,0.005373176234971952,0.00010857705332794007,0.005316880188669514
synthetic,HGB,20,1.0,1.0,0.006194735913330076,0.00040180122205518026,0.0059517769405837
synthetic,HGB,21,1.0,1.0,0.004778078542039992,7.479733702256502e-05,0.004739965136672309
synthetic,HGB,22,1.0,1.0,0.007642922435969648,0.0006966734806974626,0.007171001612836425
synthetic,HGB,23,1.0,1.0,0.005647048278268096,0.00012128371055860243,0.005583855716346444
synthetic,HGB,24,1.0,1.0,0.005859967831124249,0.00025598691847558014,0.005713536940698341
synthetic,HGB,25,1.0,1.0,0.0049383482295293464,7.711191016112656e-05,0.004899081974680464
synthetic,HGB,26,1.0,1.0,0.004834628141588632,7.24629230346192e-05,0.00479773482818154
synthetic,HGB,27,1.0,1.0,0.007715203364460049,0.0007205777411777215,0.0072242964892489684
synthetic,HGB,28,1.0,1.0,0.005623677376839991,0.00015395743519873504,0.005541977291393914
synthetic,HGB,29,1.0,1.0,0.008646517260428876,0.0014251259278435984,0.007434416732018249
synthetic,MLP,0,0.7370899387851201,0.9719055342815968,0.2505390608574221,0.068870286289452,0.026753197296523756
synthetic,MLP,1,0.9773975827970492,0.9980014661182889,0.13434623024799713,0.03514960758846031,0.06268252246605654
synthetic,MLP,2,0.9935084541062802,0.9994279206090798,0.10424048435871769,0.023903216728550378,0.06318451705722324
synthetic,MLP,3,0.9812801932367149,0.9983652294167995,0.11756893345401001,0.032918432146524686,0.040293816807588353
synthetic,MLP,4,0.9421799516908212,0.9947202198047164,0.17104873531102507,0.04570757522485931,0.05858761030899873
synthetic,MLP,5,0.983519070789515,0.9985696275963387,0.11479059350273192,0.025974171781360748,0.06589828893959712
synthetic,MLP,6,0.7444671166221943,0.9696519799394753,0.23552941326846774,0.0632604211854594,0.01924837132552668
synthetic,MLP,7,0.9966787439613526,0.9997119118685687,0.13011035418397696,0.03632241137467258,0.07892784467473515
synthetic,MLP,8,0.9670893719806763,0.9967694815005957,0.16856287993586064,0.049763160325634166,0.06853100047759672
synthetic,MLP,9,0.7841183574879228,0.9752464638338525,0.23480975994118145,0.0649388674802381,0.030202129585449492
synthetic,MLP,10,0.9839899544812432,0.9986137137302743,0.10106602079887834,0.027721509331735814,0.054349057007100784
synthetic,MLP,11,0.9518129022131533,0.9954368407814022,0.1769885757627172,0.05116035003409017,0.06592394897563492
synthetic,MLP,12,0.9766002415458938,0.997880341279112,0.11970401630175158,0.03442097369351422,0.04498794797172975
synthetic,MLP,13,0.772493961352657,0.9751007837652053,0.23606523325314582,0.06484085609984906,0.030877448969318863
synthetic,MLP,14,0.773550724637681,0.9729512238665063,0.23672674412236186,0.06476287046795887,0.03619991495047848
synthetic,MLP,15,0.9814785747920264,0.9984081737304058,0.1487651509054669,0.04169156509173553,0.06731209638069474
synthetic,MLP,16,0.7487050698477477,0.9724238509662417,0.2337447962964794,0.06247592048829269,0.024389226659625785
synthetic,MLP,17,0.9696557971014493,0.9974245690601122,0.1497379492675855,0.04141257891588791,0.060967437442081746
synthetic,MLP,18,0.7154287439613527,0.9674930271268161,0.2608219392025518,0.0707562203887781,0.0327496825565558
synthetic,MLP,19,0.9868659420289855,0.998869402311365,0.14357051982472555,0.035301038544591976,0.07831104499811314
synthetic,MLP,20,0.9562078166692827,0.9960789891388135,0.16163163045896864,0.041592263887421176,0.06884287121267682
