dataset,model,setting,auroc,auprc,logloss,brier
demo,HGB,stratified_cv_demographics_only,0.5348804500703236,0.07631017527042872,0.5936872159409314,0.08556224428627872
full,HGB,stratified_cv_demographics_only,0.7194471663402426,0.07444538518402811,0.11002730134741348,0.024302644323461752
demo,HGB,stratified_cv_admission_meta_only,0.5025316455696203,0.0711903156642476,0.41649495452344787,0.06366710083707514
full,HGB,stratified_cv_admission_meta_only,0.7372567442742824,0.06254464434036712,0.10837440253513256,0.024274711367375464
demo,HGB,stratified_cv_labs_only,0.8050632911392405,0.39006432702476523,0.4757066895898303,0.048030806070294745
full,HGB,stratified_cv_labs_only,0.943779903819262,0.5298881598613449,0.06562257793632267,0.01673405738529733
demo,HGB,stratified_cv_demographics_plus_admit,0.5828410689170184,0.09105232456369314,0.7430590355224123,0.0778332371690139
full,HGB,stratified_cv_demographics_plus_admit,0.7871128965481025,0.09950129978137819,0.10416532686619166,0.02393991575543915
demo,HGB,stratified_cv_admit_plus_labs,0.8059071729957805,0.34414733716014123,0.4908756597357447,0.052135207645137585
full,HGB,stratified_cv_admit_plus_labs,0.9509423684985082,0.5436862134593975,0.06392600769244935,0.016470448953052358
demo,HGB,stratified_cv_all_features,0.770745428973277,0.37625550417304005,0.49964540742349484,0.04812352435898643
full,HGB,stratified_cv_all_features,0.951712799577596,0.5449593243448788,0.0637418251170184,0.01646518697244457
demo,HGB,early_labs_keep_0.25,0.9327707454289733,0.44368669684574613,0.31773752003746014,0.04896696573409706
full,HGB,early_labs_keep_0.25,0.9901392963816811,0.9744497912651952,0.006838695540070063,0.000790245963877049
demo,HGB,early_labs_keep_0.5,0.9648382559774965,0.7040300064072854,0.20741030841037755,0.03685633306691909
full,HGB,early_labs_keep_0.5,0.9888818755121789,0.9616590307760452,0.009365467012465717,0.0008445225611481747
demo,HGB,early_labs_keep_0.75,0.9673699015471168,0.8272584822584822,0.15751394424626886,0.023508773299247047
full,HGB,early_labs_keep_0.75,0.991471521325573,0.9761750817937738,0.008310231338073982,0.0007873363281640686
